"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"AL","ALABAMA","0100270","Baldwin County","00066","Silverhill School","010027000066","No","DD",0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100270","Baldwin County","00067","Spanish Fort Elementary School","010027000067","No","DD",0,1,3,1,1,0,3,0,0,0,1,0,0,0,10,2,7,0,1,0,0,0,1,4,4,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100270","Baldwin County","00069","Summerdale School","010027000069","No","DD",0,0,0,1,1,0,5,0,0,0,1,0,0,0,8,0,7,0,1,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0100270","Baldwin County","00070","Swift Elementary School","010027000070","No","DD",0,0,0,1,0,0,3,0,0,1,0,0,0,0,5,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100270","Baldwin County","00550","Rockwell Elementary School","010027000550","No","DD",0,0,0,0,0,0,4,0,0,0,0,0,0,3,7,0,4,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0
"AL","ALABAMA","0100270","Baldwin County","00625","Elberta Elementary School","010027000625","No","DD",0,0,0,2,3,0,6,0,0,0,0,1,0,1,13,1,10,0,2,0,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100270","Baldwin County","00648","Magnolia School","010027000648","No","DD",0,0,0,1,0,0,6,0,0,3,0,1,0,2,13,0,7,0,6,0,0,0,2,0,5,0,0,0,0,0,2,0,4,0,0
"AL","ALABAMA","0100270","Baldwin County","00660","J Larry Newton School","010027000660","No","DD",0,0,1,0,2,0,7,0,0,0,1,0,0,0,11,0,10,1,0,0,0,0,1,1,8,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100270","Baldwin County","01477","Gulf Shores Elementary School","010027001477","No","DD",0,0,0,0,2,0,3,0,0,0,0,0,0,3,8,0,5,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0
"AL","ALABAMA","0100270","Baldwin County","01708","Bay Minette Elementary School","010027001708","No","DD",0,0,11,0,3,0,4,0,0,0,0,0,0,1,19,0,18,0,1,0,0,0,3,4,11,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100270","Baldwin County","01709","Daphne Elementary School","010027001709","No","DD",0,0,2,0,0,0,5,0,0,2,1,0,0,3,13,0,7,1,5,0,0,0,3,1,3,0,0,0,0,0,1,0,5,0,0
"AL","ALABAMA","0100270","Baldwin County","01711","Fairhope Elementary School","010027001711","No","DD",0,0,2,2,0,0,4,0,0,0,1,0,0,2,11,1,7,0,3,0,0,0,0,3,5,0,0,0,0,0,0,1,2,0,0
"AL","ALABAMA","0100270","Baldwin County","01712","Foley Elementary School","010027001712","No","DD",0,0,4,6,3,0,6,0,0,2,4,0,0,3,28,6,13,3,6,0,0,0,3,3,13,0,0,0,0,0,1,1,7,0,0
"AL","ALABAMA","0100270","Baldwin County","01714","Loxley Elementary School","010027001714","No","DD",0,0,3,0,0,0,6,0,0,2,0,0,0,2,13,0,9,0,4,0,0,0,2,0,7,0,0,0,0,0,0,0,4,0,0
"AL","ALABAMA","0100270","Baldwin County","01715","Pine Grove Elementary School","010027001715","No","DD",0,0,1,0,0,0,2,0,0,0,0,0,0,1,4,0,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0100270","Baldwin County","01716","Robertsdale Elementary School","010027001716","No","DD",0,0,0,3,0,0,12,0,0,1,0,0,0,2,18,3,12,0,3,0,0,0,5,2,8,0,0,0,0,0,0,2,1,0,0
"AL","ALABAMA","0100270","Baldwin County","02072","Daphne East Elementary School","010027002072","No","DD",0,0,3,0,0,0,5,0,0,0,0,0,0,1,9,0,8,0,1,0,0,0,1,1,6,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0100300","Barbour County","01478","Barbour County Primary School","010030001478","-8","DD",0,0,2,0,0,0,1,0,0,1,0,0,0,0,4,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100300","Barbour County","01641","Barbour County Intermediate School","010030001641","-8","DD",0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"AL","ALABAMA","0100330","Bessemer City","00082","Greenwood Elementary School","010033000082","No","DD",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100330","Bessemer City","00084","Charles F Hard Elementary School","010033000084","No","DD",0,0,4,0,0,0,0,0,0,1,0,0,0,0,5,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100330","Bessemer City","00088","Jonesboro Elementary School","010033000088","No","DD",0,0,6,1,0,0,0,0,0,3,0,0,0,0,10,1,6,0,3,0,0,0,4,0,3,0,0,0,0,0,1,2,0,0,0
"AL","ALABAMA","0100330","Bessemer City","00090","Westhills Elementary School","010033000090","No","DD",0,0,7,0,0,0,0,0,0,1,0,0,0,0,8,0,7,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100330","Bessemer City","01479","Abrams Elementary School","010033001479","No","DD",0,0,5,0,0,0,1,0,0,1,1,0,0,0,8,0,6,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100360","Bibb County","00095","Brent Elementary School","010036000095","No","DD",0,0,2,0,0,0,3,0,0,1,0,0,0,1,7,0,5,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100360","Bibb County","00096","Randolph Elementary School","010036000096","No","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100360","Bibb County","00098","West Blocton Elementary School","010036000098","No","DD",0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100360","Bibb County","01480","Woodstock Elementary School","010036001480","No","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100390","Birmingham City","00103","Avondale Elementary School","010039000103","No","DD",0,0,6,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100390","Birmingham City","00107","Charles A Brown Elementary School","010039000107","No","DD",0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100390","Birmingham City","00108","Bush K8","010039000108","No","DD",0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"AL","ALABAMA","0100390","Birmingham City","00112","Central Park Elementary School","010039000112","No","DD",0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0
"AL","ALABAMA","0100390","Birmingham City","00113","Christian School","010039000113","No","DD",0,0,6,0,0,0,0,0,0,1,0,0,0,0,7,0,6,0,1,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
"AL","ALABAMA","0100390","Birmingham City","00119","Epic School","010039000119","No","DD",0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"AL","ALABAMA","0100390","Birmingham City","00127","Oliver K5 School","010039000127","-8","DD",0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"AL","ALABAMA","0100390","Birmingham City","00136","Hemphill Elementary School","010039000136","No","DD",0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100390","Birmingham City","00139","Hudson KEight School","010039000139","No","DD",0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
