AZ,04,04570,Mammoth-San Manuel Unified District,6253,1149,240
AZ,04,04630,Marana Unified District,90383,15302,1669
AZ,04,04720,Maricopa Unified School District,54144,11012,1235
AZ,04,04820,Mayer Unified District,6141,699,334
AZ,04,04860,McNary Elementary District,550,152,69
AZ,04,04920,McNeal Elementary District,482,102,14
AZ,04,04970,Mesa Unified District,512019,84087,16265
AZ,04,05030,Miami Unified District,7535,1219,505
AZ,04,05070,Mingus Union High School District,35917,1459,307
AZ,04,05100,Mobile Elementary District,140,25,4
AZ,04,05190,Mohave Valley Elementary District,22479,1943,428
AZ,04,05220,Mohawk Valley Elementary District,1691,172,45
AZ,04,05320,Morenci Unified District,6399,1331,98
AZ,04,05340,Morristown Elementary District,2028,282,32
AZ,04,05400,Murphy Elementary District,19480,2176,749
AZ,04,05430,Naco Elementary District,1427,361,107
AZ,04,05460,Nadaburg Unified School District,9177,1782,234
AZ,04,05530,Nogales Unified District,21618,4551,2030
AZ,04,05640,Oracle Elementary District,15597,1055,134
AZ,04,05670,Osborn Elementary District,41552,4022,1136
AZ,04,05730,Owens-Whitney Elementary District,629,57,7
AZ,04,05820,Page Unified District,13662,2867,764
AZ,04,05850,Palo Verde Elementary District,3090,462,99
AZ,04,08430,Paloma School District,340,85,11
AZ,04,05880,Palominas Elementary District,9992,1602,230
AZ,04,05930,Paradise Valley Unified District,270645,41576,5220
AZ,04,05980,Parker Unified School District,9620,1619,552
AZ,04,06000,Patagonia Elementary District,1494,120,27
AZ,04,06030,Patagonia Union High School District,3299,124,14
AZ,04,06070,Payson Unified District,21598,2684,626
AZ,04,06120,Peach Springs Unified District,1352,285,95
AZ,04,06150,Pearce Elementary District,1967,112,20
AZ,04,06210,Pendergast Elementary District,75504,11537,2534
AZ,04,06250,Peoria Unified School District,234857,40592,5103
AZ,04,06300,Phoenix Elementary District,62172,7119,2564
AZ,04,06330,Phoenix Union High School District,736331,43744,12330
AZ,04,06360,Picacho Elementary District,9463,134,41
AZ,04,06440,Pima Unified District,3770,899,267
AZ,04,06510,Pine Strawberry Elementary District,2945,219,45
AZ,04,00023,Pinon Unified District,7176,1748,682
AZ,04,06630,Pomerene Elementary District,959,158,43
AZ,04,06730,Prescott Unified District,59054,5585,862
AZ,04,06780,Quartzsite Elementary District,6194,289,104
AZ,04,06810,Queen Creek Unified District,29706,7081,415
AZ,04,06850,Ray Unified District,4381,773,150
AZ,04,06870,Red Mesa Unified District,8620,1963,840
AZ,04,06900,Red Rock Elementary District,3852,592,92
AZ,04,06930,Redington Elementary District,100,15,15
AZ,04,07020,Riverside Elementary District,7618,1354,333
AZ,04,07080,Roosevelt Elementary District,114946,17273,5163
AZ,04,07130,Round Valley Unified District,8177,1408,350
AZ,04,07140,Rucker Elementary District,26,0,0
AZ,04,07200,Sacaton Elementary District,7530,1222,393
AZ,04,07170,Saddle Mountain Unified School District,9943,2107,353
AZ,04,07240,Safford Unified District,16787,3264,816
AZ,04,07300,Sahuarita Unified District,28183,5714,589
AZ,04,00005,Salome Consolidated Elementary District,2780,126,41
AZ,04,06960,San Carlos Unified District,5292,1262,586
AZ,04,07380,San Fernando Elementary District,54,6,0
AZ,04,07430,San Simon Unified District,652,79,8
AZ,04,06740,Sanders Unified District,5906,1292,567
AZ,04,07500,Santa Cruz Elementary District,1708,402,122
AZ,04,07520,Santa Cruz Valley Unified District,19574,4096,1041
AZ,04,07530,Santa Cruz Valley Union High School District,20919,732,160
AZ,04,07570,Scottsdale Unified District,248643,32749,2793
AZ,04,09733,Sedona-Oak Creek Joint Unified District,15598,1253,183
AZ,04,07630,Seligman Unified District,1422,141,26
AZ,04,07680,Sentinel Elementary District,144,26,11
AZ,04,07700,Show Low Unified District,16518,2637,685
AZ,04,01460,Sierra Vista Unified District,46507,7029,1323
AZ,04,07770,Skull Valley Elementary District,661,107,13
AZ,04,07820,Snowflake Unified District,12411,2660,559
AZ,04,07860,Solomon Elementary District,2902,380,62
AZ,04,07890,Somerton Elementary District,22878,3172,1150
AZ,04,07920,Sonoita Elementary District,1805,115,24
AZ,04,08020,St. David Unified District,3506,505,63
AZ,04,08080,St. Johns Unified District,4201,791,242
AZ,04,08130,Stanfield Elementary District,5943,822,107
AZ,04,08170,Sunnyside Unified District,91585,19471,5809
AZ,04,08230,Superior Unified School District,3852,590,95
AZ,04,08280,Tanque Verde Unified District,11977,1895,102
AZ,04,08310,Tempe School District,161921,12993,2932
AZ,04,08340,Tempe Union High School District,331855,15931,1567
